rxn_index,rxn,min,max,subsystem
1,MAR03905,0,-0,Glycolysis / Gluconeogenesis
2,MAR03907,0,-0,Glycolysis / Gluconeogenesis
3,MAR04097,0,1000,Glycolysis / Gluconeogenesis
4,MAR04108,0,1000,Glycolysis / Gluconeogenesis
5,MAR04133,0,1000,Glycolysis / Gluconeogenesis
6,MAR04137,0,1000,Glycolysis / Gluconeogenesis
7,MAR04281,5.677338594816e-05,1000,Glycolysis / Gluconeogenesis
8,MAR04388,-1000,1000,Glycolysis / Gluconeogenesis
9,MAR04283,0,1000,Glycolysis / Gluconeogenesis
10,MAR08357,0,1000,Glycolysis / Gluconeogenesis
11,MAR04379,0,1000,Glycolysis / Gluconeogenesis
12,MAR04301,0,1000,Glycolysis / Gluconeogenesis
13,MAR04355,0,1000,Glycolysis / Gluconeogenesis
14,MAR04358,0,1000,Glycolysis / Gluconeogenesis
15,MAR04360,0,1000,Glycolysis / Gluconeogenesis
16,MAR04363,-1000,1000,Glycolysis / Gluconeogenesis
17,MAR04365,-1000,1000,Glycolysis / Gluconeogenesis
18,MAR04368,-1000,999.999973682128,Glycolysis / Gluconeogenesis
19,MAR04370,0,1000,Glycolysis / Gluconeogenesis
20,MAR04371,2.6317872e-05,1000,Glycolysis / Gluconeogenesis
21,MAR04372,0,999.999973682128,Glycolysis / Gluconeogenesis
22,MAR04373,-1000,998.031105132012,Glycolysis / Gluconeogenesis
23,MAR04375,-1000,0.000248139936047664,Glycolysis / Gluconeogenesis
24,MAR04381,-770.132507369908,1000,Glycolysis / Gluconeogenesis
25,MAR04391,-1000,1000,Glycolysis / Gluconeogenesis
26,MAR04394,0,1000,Glycolysis / Gluconeogenesis
27,MAR04396,-1000,-0.0159721738272083,Glycolysis / Gluconeogenesis
28,MAR04521,0,499.975162502524,Glycolysis / Gluconeogenesis
29,MAR06410,0,999.999961848625,Glycolysis / Gluconeogenesis
30,MAR06412,0,999.999961848625,Glycolysis / Gluconeogenesis
31,MAR07747,0,1000,Glycolysis / Gluconeogenesis
32,MAR08360,0,-0,Glycolysis / Gluconeogenesis
33,MAR03989,0,-0,Starch and sucrose metabolism
34,MAR04122,1.36912032e-05,433.034727252749,Starch and sucrose metabolism
35,MAR04837,0,-0,Starch and sucrose metabolism
36,MAR05395,0,181.816729802379,Starch and sucrose metabolism
37,MAR05396,0,181.816729802379,Starch and sucrose metabolism
38,MAR09727,0.015793056,0.023689584,Starch and sucrose metabolism
39,MAR05397,0,181.816729802379,Starch and sucrose metabolism
40,MAR05398,0,181.816729802379,Starch and sucrose metabolism
41,MAR05399,0,181.816729802379,Starch and sucrose metabolism
42,MAR05400,0,181.816729802379,Starch and sucrose metabolism
43,MAR05401,0,181.816729802379,Starch and sucrose metabolism
44,MAR08578,0,-0,Starch and sucrose metabolism
45,MAR08591,0,-0,Starch and sucrose metabolism
46,MAR08592,0,-0,Starch and sucrose metabolism
47,MAR08587,0,-0,Starch and sucrose metabolism
48,MAR08589,0,-0,Starch and sucrose metabolism
49,MAR08585,0,-0,Starch and sucrose metabolism
50,MAR03944,0,1000,Galactose metabolism
51,MAR04128,-966.486202571193,-0,Galactose metabolism
52,MAR04130,0,1000,Galactose metabolism
53,MAR04131,-999.984027826173,1000,Galactose metabolism
54,MAR04132,0,1000,Galactose metabolism
55,MAR04303,0,-0,Galactose metabolism
56,MAR04414,0,1000,Galactose metabolism
57,MAR04416,0,-0,Galactose metabolism
58,MAR04774,-1000,1000,Galactose metabolism
59,MAR04775,-1000,1000,Galactose metabolism
60,MAR07674,0,-0,Galactose metabolism
61,MAR08761,0,-0,Galactose metabolism
62,MAR08762,0,-0,Galactose metabolism
63,MAR08766,0,-0,Galactose metabolism
64,MAR08767,0,1000,Galactose metabolism
65,MAR04297,0,1000,Fructose and mannose metabolism
66,MAR04315,0,1000,Fructose and mannose metabolism
67,MAR04316,-1000,-0,Fructose and mannose metabolism
68,MAR04319,0,1000,Fructose and mannose metabolism
69,MAR04383,0,-0,Fructose and mannose metabolism
70,MAR04385,0,-0,Fructose and mannose metabolism
71,MAR04386,0,-0,Fructose and mannose metabolism
72,MAR04387,0,-0,Fructose and mannose metabolism
73,MAR04399,0,-0,Fructose and mannose metabolism
74,MAR04400,0,-0,Fructose and mannose metabolism
